id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1012887642973459949,Daily serviced apartment 75 m2 - BS3D,448782489,Martijn,Rotterdam Centrum,Stadsdriehoek,51.92241364064274,4.491944121321384,Entire home/apt,,30,0,,,28,0,0,0599 2B01 14EA 7C61 E9E4
1013742368397874075,The Green House,78859021,Senka,Feijenoord,Vreewijk,51.87993128977015,4.510178947121278,Entire home/apt,280,1,0,,,1,8,0,0599 B227 0A72 E487 FE29
1016408645780356455,Modern apartment near city center,182446106,Angela,Kralingen-Crooswijk,Kralingen West,51.92324,4.50119,Entire home/apt,107,2,17,2024-06-20,2.60,3,73,17,0599 66FB 96E2 24BC 46BA
1016438047099002213,Iconic Cube House in Rotterdam,14847029,Amber En Robert,Rotterdam Centrum,Stadsdriehoek,51.918863683588086,4.490170229870937,Entire home/apt,489,2,5,2024-06-23,1.23,2,49,5,0599 F1B0 CE40 2117 67CA
1016512325122153728,Big 5 Bedroom House with terrace near Rotterdam,533831229,Medina,Prins Alexander,'s-Gravenland,51.919341954911275,4.545787242549293,Entire home/apt,,10,1,2023-11-19,0.14,1,0,1,
1017101205181188843,Gastenverblijf/studio,298816812,Tom,Feijenoord,Feijenoord,51.91223609999999,4.504112399999999,Entire home/apt,99,3,1,2024-03-11,0.28,2,347,1,0599 3D01 9CAE 553A BED9
1017292135536497301,Cozy Room in the Kleiwegkwartier,10998591,Alejandro P.,Hillegersberg-Schiebroek,Hillegersberg Zuid,51.9453471,4.4866699,Private room,40,1,29,2024-06-18,4.01,1,123,29,0599 0C31 1A6A A8EE 580F
1018829476416998847,"Cozy home for two, close to all hotspots",183134169,Soraia,Noord,Oude Noorden,51.93376648772125,4.474502317607403,Entire home/apt,,2,3,2023-12-26,0.45,1,0,3,0599 F820 F951 9D28 824F
1019364955688304395,View on the zoo,18816854,Vincent,Noord,Blijdorp,51.925345089003415,4.455106928944588,Entire home/apt,,2,0,,,1,0,0,0599 5F1B A8AA 2C8E 3686
1020853266694486903,The Heems,525761898,Elles,Delfshaven,Nieuwe Westen,51.9169764,4.4541027,Entire home/apt,132,14,0,,,6,175,0,0599 8654 BFC0 2EF4 A55E
1021594411003837863,Ruime en frisse design woning Rotterdam centrum,298816812,Tom,Feijenoord,Feijenoord,51.9122409,4.5045249,Entire home/apt,350,3,2,2024-01-06,0.34,2,197,2,0599 3D01 9CAE 553A BED9
1021805564164049822,"Uniek appartement, mét dakterras en 2 slaapkamers",17246896,Anna,Delfshaven,Nieuwe Westen,51.9193351,4.4474868,Entire home/apt,,5,2,2024-01-01,0.33,1,3,2,0599 ABDB F502 6BFC 07C0
1023967733313036389,Studio M’Adam II,51464471,Ali,Delfshaven,Nieuwe Westen,51.91972,4.45116,Entire home/apt,300,2,2,2024-01-05,0.32,2,313,2,0599 F03F 1647 61FE 18CE
1024481979357796485,1 bedroom serviced apartment -PRH10-,448782489,Martijn,Feijenoord,Noordereiland,51.91495991390022,4.50009301234766,Entire home/apt,,30,6,2024-06-14,1.05,28,171,6,0599 2B01 14EA 7C61 E9E4
1024566852562157928,Studio serviced apartments -PRH 11/15-,448782489,Martijn,Feijenoord,Noordereiland,51.91490268094154,4.499835819681677,Entire home/apt,,30,22,2024-06-09,3.03,28,141,22,0599 2B01 14EA 7C61 E9E4
1025297900068696417,The Heems,525761898,Elles,Delfshaven,Nieuwe Westen,51.91613838431271,4.4538313045180296,Entire home/apt,245,30,0,,,6,176,0,0599 FB32 1E33 1634 896F
1028023270768660139,Entire apartment Rdam Noord plus private garden,34095985,Maarten,Noord,Liskwartier,51.93722852634641,4.476519162944613,Entire home/apt,,10,1,2024-01-02,0.17,1,0,1,0599 29E4 15DE CA5C 3654
1029623211500892218,Studio serviced apartments with view -PRH14/15-,448782489,Martijn,Feijenoord,Noordereiland,51.91489528120929,4.499612027597081,Entire home/apt,,30,9,2024-06-12,1.54,28,140,9,0599 2B01 14EA 7C61 E9E4
1029746226107887631,Renewed urban style apartment with terrace,95259616,Nicolò,Charlois,Oud Charlois,51.894730226192664,4.465047223419014,Entire home/apt,,1,8,2024-01-13,1.24,1,0,8,0599 E817 831C EA67 5711
1030480901855196659,Full 2 bedroom apartment in the Markthal,57803928,Maarten,Rotterdam Centrum,Stadsdriehoek,51.92023700000001,4.486825,Entire home/apt,145,1,3,2024-01-29,0.45,1,80,3,0599 B3E6 3F0C 9D38 167F
1032655139418809797,High-end Serviced Apartment with one bedroom,543381697,BirdsEye Short Stay,Prins Alexander,'s-Gravenland,51.92044064443763,4.554210073349155,Entire home/apt,204,3,87,2024-06-16,14.66,2,361,87,0599 9BD6 36FC CB31 F331
1033092416888537851,"Stylish room in historic house. Central, Spacious.",6539280,Willemijn,Delfshaven,Nieuwe Westen,51.91425607266502,4.449075963417597,Private room,175,2,1,2024-05-23,0.88,1,202,1,0599 9DE9 4FA8 4C32 CAAF
1033374550442988384,The Coconut Beachhut,9733671,Jin,Hoek van Holland,Strand en Duin,51.99422749543709,4.130624011158943,Entire home/apt,100,5,0,,,1,41,0,
1035597049523536224,Beautiful house with garden,16108396,Viktoriya,Noord,Blijdorp,51.9347639,4.4566774,Entire home/apt,115,7,0,,,1,52,0,0599 79CD E81F D52E CE4B
1038137162054349834,Huize bergpolder,131747286,Lotte,Noord,Bergpolder,51.9331708,4.4670606,Entire home/apt,100,3,1,2024-01-03,0.17,1,17,1,0599 1B37 9C38 0C34 0946
1038323476772380197,Appartement Laan Op Zuid,275775749,Boris,Feijenoord,Kop van Zuid - Entrepot,51.90565304151349,4.500435367258096,Entire home/apt,,2,2,2024-01-01,0.31,1,0,2,0599 9376 90FF 2806 F6E2
1039261500853509704,Tiny House Historisch Delfshaven (Galerie Petit),549479017,Aad,Delfshaven,Delfshaven,51.9089348,4.4494216,Entire home/apt,139,2,4,2024-06-15,0.98,1,248,4,0599 4FE1 C751 B47B 4AEC
1040355392655167601,Museum park loft,16868616,Peter,Delfshaven,Middelland,51.91275133921513,4.458129226560935,Entire home/apt,259,3,17,2024-05-24,2.88,1,37,17,0599 D490 DA3E 4109 A0A4
1041910209250402646,Studio + room in center. With sunny roof terrace!,45441966,Martine,Rotterdam Centrum,Oude Westen,51.91881159058485,4.4636507703803945,Private room,175,2,10,2024-06-16,1.70,3,224,10,0599 6307 016F 2136 8279
1045004902039436990,Pleasant place in Rotterdam West,550698006,Miljana,Delfshaven,Nieuwe Westen,51.9211388,4.4477608,Entire home/apt,,3,2,2024-03-29,0.61,1,0,2,0599 74C4 D777 2816 2D64
1045512298329904463,Enjoy the Rotterdam Skyline,545542990,Shanti,Rotterdam Centrum,Stadsdriehoek,51.918,4.48238,Private room,100,1,0,,,1,265,0,Exempt
1045519665420981625,Cozy spacious room in Schiedam,531811132,Alicia,Delfshaven,Oud Mathenesse,51.91437,4.41489,Private room,75,1,0,,,1,265,0,
1047597119366924906,Trendy apartment Rotterdam Zuid,14411953,James,Feijenoord,Vreewijk,51.88824,4.50595,Entire home/apt,,2,8,2024-05-07,1.29,1,0,8,0599 83BB 7631 8F28 E9B2
1049204229889059124,Cozy Tiny Room: Bunnies & Garden,49059691,Jiwei,Noord,Blijdorp,51.93325602679968,4.4573525665114495,Private room,37,2,7,2024-05-19,2.76,1,15,7,0599 00FC F2EB 0FD8 78C5
1050119352431416976,Central Room with Balcony near train station,371931137,Jade,Noord,Bergpolder,51.93268029999999,4.46585,Private room,53,2,4,2024-04-15,0.68,1,266,4,0599F13B604CB1E32E2C
1050637762496896654,Spacious Family Retreat near Rotterdam's Heart!,36611878,Maarten,Delfshaven,Nieuwe Westen,51.919009496113226,4.451497934895009,Entire home/apt,227,2,28,2024-06-19,4.91,2,66,28,0599 C554 D7BF 01A8 395B
1053711600495689312,بيت كامل في روتردام,552437594,Ashraf,Charlois,Pendrecht,51.8729629,4.4648582,Entire home/apt,270,1,0,,,1,265,0,0599 BF3B D0BE C308 F3D5
1056457454626372925,"Perfect expat room in luxury building, great view",553107356,Cathrin,Feijenoord,Kop van Zuid,51.9053041,4.488223200000001,Private room,50,60,0,,,1,85,0,0599DE68C2FD3A0000BE
1058572397554229361,Calm room in colorful apartment,55391017,Pleun,Delfshaven,Oud Mathenesse,51.915296147715814,4.418808007418008,Private room,,3,9,2024-06-11,1.63,2,3,9,0599A4D56A643197D81D
1059524647423947291,Modern sunny apt near lake&park,102766950,N.,Kralingen-Crooswijk,Kralingen Oost,51.926453312529226,4.518252834677696,Entire home/apt,173,3,5,2024-05-22,2.05,1,201,5,0599 6D80 4364 3E0B 57BD
1061014692996181588,"Designer apartment, top location",20466762,Irina,Delfshaven,Middelland,51.914682218755395,4.45672929867006,Entire home/apt,220,5,5,2024-06-16,1.90,1,17,5,0599 AC65 D9D4 FE19 837B
1061573759285492011,Beautiful 2- bedroom apartment in Rotterdam,6931623,Lisette,Feijenoord,Hillesluis,51.89564210017772,4.509473970094047,Entire home/apt,,8,0,,,1,2,0,05996749EF5ACDDE4396
1063931506098220740,2-Floor Apartment near Rotterdam Centre,17602346,Michiel,Kralingen-Crooswijk,Oud Crooswijk,51.93162070184657,4.4904644686147535,Entire home/apt,,2,7,2024-05-14,1.62,1,0,7,0599 0D2E E202 A986 E2F3
1065671211264239698,Colorful apartment in Rotterdam,55391017,Pleun,Nieuw Mathenesse,Nieuw Mathenesse,51.913368559661805,4.419170695878515,Entire home/apt,,4,0,,,2,0,0,0599 A4D5 6A64 3197 D81D
1067275650299469269,GS Holidays  - Appartement B,9674921,Jacco,Delfshaven,Middelland,51.91543198563072,4.461421449839985,Entire home/apt,160,7,1,2024-02-25,0.25,1,82,1,Exempt
1067869604789917033,2 bedroom in central Rotterdam,10076890,Elke,Rotterdam Centrum,Cs Kwartier,51.9257842723944,4.470933845462163,Entire home/apt,99,3,10,2024-05-17,2.31,1,32,10,0599 7851 46CE BE85 953A
1068719402039912421,Gerenoveerd appartement in Rdam (met tuin),439671056,Gineke,Noord,Bergpolder,51.93270273597558,4.466711745681751,Entire home/apt,104,4,8,2024-06-09,2.22,1,4,8,0599 1280 00CC BFCB 0639
1069581673336253066,Spacious & Cozy Apartment,152681050,Abdullah,Delfshaven,Oud Mathenesse,51.91709736652165,4.4224622196213526,Entire home/apt,79,5,8,2024-06-11,1.85,1,147,8,0599 5971 90B2 F0B1 7968
1070275225182503058,Comfortable bedroom with private shower and toilet,13136873,Doris,Prins Alexander,Het Lage Land,51.94293126676574,4.546577651094955,Private room,61,1,28,2024-06-23,5.60,3,118,28,0599 FBAE D95C 77C0 7A97
1071087907190312197,Coolhaven studio,6266568,Anita,Delfshaven,Delfshaven,51.90717411153185,4.456828169641543,Entire home/apt,150,1,0,,,1,114,0,
1072421589172829136,Gezellig appartement in Blijdorp,6686960,Isa,Noord,Blijdorp,51.93051,4.45694,Entire home/apt,155,2,9,2024-06-14,2.21,1,60,9,0599 8EFD ECEA 7C63 1DBA
1073962727011438558,Quiet central studio,264920920,Lanny,Noord,Oude Noorden,51.92669706321411,4.4807248730902245,Entire home/apt,,2,1,2024-02-25,0.24,1,0,1,0599 1E26 B1AF 3627 2B4B
1076089809073867074,Prachtig gerenoveerd appartement,20789135,Benno,Kralingen-Crooswijk,Kralingen Oost,51.92236909684737,4.512738378969078,Entire home/apt,195,3,0,,,1,265,0,0599 B7F0 878C A34C B308
1079715836041770210,A room in the centrum,491223601,Burak,Noord,Bergpolder,51.932109520470895,4.46835515208158,Private room,50,1,5,2024-06-02,2.05,1,70,5,5291 5725 1529 5725 3245
1079762534852102342,Sunny room with private shower,13136873,Doris,Prins Alexander,Het Lage Land,51.94455772516987,4.546689351836126,Private room,65,1,10,2024-06-09,2.21,3,158,10,0599 FBAE D95C 77C0 7A97
1080280263157719986,Cozy room with king bed and large windows,37502938,Kseniia,Delfshaven,Nieuwe Westen,51.91921747263489,4.444606033684742,Private room,61,14,7,2024-04-30,1.48,2,176,7,05990AF644F95F6E814D
1080381362716014646,spacious studio central located,23729777,Erik,Delfshaven,Nieuwe Westen,51.91777453809871,4.451142959296703,Entire home/apt,80,2,29,2024-06-22,6.35,2,106,29,0599578C20D48FCB10AF
1080535191486350989,Spacious and Comfortable Family Retreat!,95516691,Corine,Hillegersberg-Schiebroek,Schiebroek,51.95897022368566,4.477521534555997,Entire home/apt,,2,5,2024-06-01,3.19,1,0,5,0599 40D0 5D5E 9790 B158
1081057076049074540,Spacious flat near the city,54218475,Sanne,Kralingen-Crooswijk,Kralingen Oost,51.9212673,4.513881599999999,Entire home/apt,203,3,2,2024-05-23,1.62,1,54,2,0599 369C 2186 F24D D551
1082722556527140369,Appartement in Rotterdam,427388254,Fabienne,Delfshaven,Nieuwe Westen,51.921098,4.446009,Entire home/apt,145,2,7,2024-05-26,1.72,1,109,7,0599 8732 6939 C083 A9C6
1085463309586512562,3 kamer appartement in Rotterdam,161572552,Erkal,Noord,Bergpolder,51.93284056239159,4.4664233130949444,Entire home/apt,195,2,5,2024-05-12,1.29,1,139,5,0599 AB11 6293 1517 A35E
1086934397709326493,Experience Soothing Moments & Luxury,484535538,RoomPicks,Rotterdam Centrum,Stadsdriehoek,51.92430563184646,4.477851294909823,Hotel room,405,1,0,,,1,212,0,Exempt
1087733742037202106,Authentic 1930s apartment with garden in Rotterdam,53849438,Maurits,Charlois,Oud Charlois,51.88866659315753,4.468086651924834,Entire home/apt,132,2,4,2024-05-14,0.98,2,119,4,0599 E93C A6F1 EA09 8529
1088257507187833695,Rotterdam's Family-Friendly Home Away from Home!,114799932,Thom,Hillegersberg-Schiebroek,Hillegersberg Zuid,51.944822393528334,4.475286772431306,Entire home/apt,194,2,9,2024-05-03,2.21,1,15,9,0599 6BFE FC2F E1D3 2D6B
1088280981575757011,Cozy Stay: Near Centre & Central Station,36271669,Cesar,Noord,Blijdorp,51.92887344847838,4.465348579481866,Private room,100,1,4,2024-06-11,1.18,1,103,4,0599 50FA B121 ACE8 7C3C
1089021113995156232,Zen apartment in Rotterdam,492896929,Linda,Delfshaven,Oud Mathenesse,51.91513552266009,4.418641214480282,Entire home/apt,74,1,3,2024-06-16,0.84,2,326,3,0599 5E65 94E5 7BD7 44A9
1089027794418690486,Cosy apartment near city center,24379079,Elmar,Feijenoord,Bloemhof,51.89500180705057,4.494509920477867,Entire home/apt,122,2,4,2024-04-28,1.01,1,80,4,0599 82A8 C509 D99A 06A8
1091845266625090992,Lambertus,525761898,Elles,Kralingen-Crooswijk,Kralingen West,51.923314625890185,4.5094405488273335,Entire home/apt,100,30,0,,,6,171,0,0599 46DE B338 B56F E7FD
1093436186579163721,"Modern, Central, Amazing View",5720431,Gerald,Rotterdam Centrum,Cool,51.92014977393302,4.478848251224739,Entire home/apt,,12,0,,,1,0,0,0599 7341 86BF F40C E88F
1093589504326366593,Cozy Corner in Rotterdam,562555125,Erjona,Charlois,Oud Charlois,51.88817208976734,4.468934410979462,Entire home/apt,118,2,3,2024-04-14,1.03,1,218,3,0599 2133 B520 2FC1 BF69
1094790703380257315,Modern apartment for cozy stay,409463615,Brett,Rotterdam Centrum,Stadsdriehoek,51.913828441936914,4.4828172826034685,Entire home/apt,,3,0,,,1,2,0,0599 800E 9C21 A0F1 67E2
1095620493490202058,Groot familie huis centraal gelegen in Rotterdam,21103158,Timothy,Overschie,Overschie,51.9422244868376,4.430536317030645,Entire home/apt,175,7,1,2024-04-14,0.41,1,107,1,0599 2BB0 EBE4 D969 5EA0
1099330991282865966,Cozy 2 bedroom flat near EUR,243905759,Ivy,Prins Alexander,Oosterflank,51.93581857741232,4.558930325819762,Entire home/apt,121,28,0,,,1,240,0,Exempt
1099903801001325945,Comfy Urban Retreat room,284330075,Rovshan,Delfshaven,Oud Mathenesse,51.91412237517662,4.416588855106882,Private room,68,2,9,2024-05-24,2.33,1,48,9,0599 8DD0 F986 EA0A D186
1101150240610200221,Room in Charlois,298816151,Gerbrich,Charlois,Carnisse,51.88708,4.4739,Private room,63,2,6,2024-06-13,3.40,1,314,6,0599 1165 79F5 ABBB 3E04
1101392497275979405,spacious modern room with amazing view,564450891,Mog,IJsselmonde,Lombardijen,51.87677310595505,4.52259641964942,Private room,90,2,0,,,1,85,0,0599 54B2 711B 1A3A 9037
1102671892675985362,boeketje bloemen.te huur vanaf 4 nachten.,564757599,Inge,Hoek van Holland,Strand en Duin,51.9929596332768,4.1270409151911736,Entire home/apt,115,1,4,2024-06-02,1.82,1,141,4,
1104850034237014793,Vibrant City Living in Rotterdam,565281052,Rob,Noord,Oude Noorden,51.92513072184037,4.484927074752054,Entire home/apt,142,2,12,2024-06-23,4.00,3,154,12,0599 5C5A DE25 45EB F95D
1105216456535488790,Cozy Stay in Historical Atmosphere,461545936,Etienne,Charlois,Oud Charlois,51.88931966993183,4.463801452077587,Entire home/apt,135,2,9,2024-06-13,3.29,1,59,9,0599 D2E1 9F30 6C11 2636
1106312946977577790,Convenient Studio in Heart of Rotterdam,565281052,Rob,Rotterdam Centrum,Stadsdriehoek,51.92517103285817,4.484455481348684,Entire home/apt,97,2,9,2024-06-09,3.70,3,167,9,0599 63C7 5726 5A2D C10D
1106322921066430418,Central Retreat in Vibrant Rotterdam,565281052,Rob,Kralingen-Crooswijk,Rubroek,51.92648829496918,4.485386001738429,Entire home/apt,136,2,20,2024-06-23,6.59,3,137,20,0599 9C56 130D E416 DEB7
1108041020729033798,Prachtig Stadsappartement,46736017,Robbert,Delfshaven,Oud Mathenesse,51.91899291808855,4.422404637870841,Entire home/apt,165,1,0,,,2,227,0,0599 3F89 9B32 12F1 68D9
1112168859470564502,Tranquil Riverside Retreat in Rotterdam,128534364,Don,Hillegersberg-Schiebroek,Molenlaankwartier,51.95149043898594,4.5100348143880575,Entire home/apt,126,2,0,,,1,95,0,0599 B030 2A40 CA69 F2E4
1113520591256033193,Tiny Lux met parkeren op eigen oprit,10894909,Bernadet,Hillegersberg-Schiebroek,Hillegersberg Zuid,51.94259701492432,4.472072775362154,Entire home/apt,125,1,1,2024-05-11,0.65,1,157,1,0599 6C59 F939 F012 5AE2
1113641572806698976,Appartement in Calypso,423863305,Jon,Rotterdam Centrum,Cool,51.920428697239345,4.471403428035041,Entire home/apt,181,1,1,2024-06-17,1,1,7,1,0599 3503 0510 B6C6 2606
1113655953623275938,Spacious Family House in Rotterdam,7574516,Hester,Hillegersberg-Schiebroek,Molenlaankwartier,51.959641125685664,4.5076489232931465,Entire home/apt,245,5,0,,,1,107,0,0599 5344 1003 319F 3250
1115301069551026974,Spacious Apartment in Rotterdam,137528527,Ellen,Delfshaven,Spangen,51.9147874840791,4.437957189307544,Entire home/apt,83,4,4,2024-06-17,2.45,1,26,4,0599 35F2 0C28 65C8 3CA1
1117865488572413754,Ruim appartement in het centrum,239233080,Helen,Rotterdam Centrum,Cool,51.91561431711547,4.476308579204766,Entire home/apt,299,3,1,2024-05-20,0.81,1,24,1,0599 B3C4 1DEE 9D55 1A62
1119571694336194463,Comfortable room in Rotterdam,32710063,Roberto,Delfshaven,Spangen,51.9150806,4.4355066,Private room,73,2,11,2024-06-14,4.12,1,99,11,0599 E078 9B9A D4F0 9800
1121141924250616686,Gezellig familiehuis Kralingen,32175334,Kiki,Kralingen-Crooswijk,Kralingen Oost,51.9224557,4.513887599999999,Entire home/apt,,2,3,2024-04-27,1.23,1,0,3,0599 62E2 F964 AA35 5150
1122283898393520431,zonnig maisonnette woning,24849643,Marcel,IJsselmonde,Groot IJsselmonde,51.8951483,4.5510464,Entire home/apt,95,2,0,,,1,54,0,05995EDB13E139E5E6C9
1123125989998958976,Characteristic Charm: Rotterdam's Quiet Jewel,109584845,Trees,Hillegersberg-Schiebroek,Hillegersberg Noord,51.95015846215232,4.487029118830889,Entire home/apt,182,2,4,2024-05-20,2.00,1,40,4,0599 6330 2B53 F85D 1B25
1123204989843901571,Kamer te huur,178561143,Service,Charlois,Carnisse,51.8875035756491,4.47774061118354,Private room,30,7,0,,,2,174,0,0599 B0FC CDBF 36A1 563B
1125160479945863294,Grote gezinswoning,569976982,Anjo,Noord,Oude Noorden,51.93725255883738,4.479566929659443,Entire home/apt,365,3,0,,,1,99,0,0599 DF25 4FC8 9093 66FF
1126565200738389498,1649 - Private room,135495493,Delfshaven,Delfshaven,Delfshaven,51.9075884,4.4488224,Private room,94,1,3,2024-05-19,1.73,1,2,3,0599 CE3B FCDB FD7A DFE7
